student_id,name,age,grade,gender,previous_gpa,test_score,attendance_percentage,assignment_completion,lms_login_frequency,class_participation,behavior_score,risk_score,risk_level
STU-1001,Divya Ghosh,16,Grade 11,Male,3.81,83.1,95.0,95.6,23.5,85.9,94.6,9.6,Low
STU-1002,Ishaan Deshmukh,15,Grade 10,Female,2.82,70.1,78.2,65.7,7.2,63.0,75.2,45.5,Medium
STU-1003,Divya Pillai,16,Grade 11,Male,2.65,71.5,73.9,72.3,7.7,60.2,80.9,46.4,Medium
STU-1004,Aarti Rao,17,Grade 12,Female,1.72,39.6,66.0,57.9,3.0,32.0,50.9,73.5,High
STU-1005,Meera Reddy,15,Grade 10,Male,1.74,36.3,63.8,43.8,5.0,41.6,69.4,74.2,High
STU-1006,Arun Ghosh,14,Grade 9,Female,3.72,86.3,94.8,95.7,17.6,89.0,94.5,11.0,Low
STU-1007,Nikhil Menon,15,Grade 10,Male,3.46,92.0,93.1,98.1,23.1,85.2,93.7,10.5,Low
STU-1008,Siddharth Kapoor,14,Grade 9,Female,3.69,83.8,94.0,92.4,29.8,94.9,92.4,10.4,Low
STU-1009,Deepika Pillai,14,Grade 9,Male,2.64,60.9,72.8,74.2,10.8,60.1,77.7,46.5,Medium
STU-1010,Manoj Iyer,16,Grade 11,Female,2.7,72.5,76.7,76.9,10.8,69.0,80.6,40.3,Medium
STU-1011,Harish Ghosh,16,Grade 11,Male,1.81,37.5,56.8,40.2,2.4,42.9,54.6,80.1,High
STU-1012,Sanjay Kumar,14,Grade 9,Female,3.44,83.1,95.1,88.4,20.6,90.2,92.8,12.9,Low
STU-1013,Rajesh Nair,15,Grade 10,Male,3.93,91.2,95.2,90.9,22.6,88.5,90.9,8.1,Low
STU-1014,Karthik Choudhury,17,Grade 12,Female,2.83,60.7,75.7,72.5,10.2,59.0,80.7,44.8,Medium
STU-1015,Rohan Gupta,15,Grade 10,Male,3.67,88.8,89.9,91.3,19.5,96.8,94.4,11.6,Low
STU-1016,Manoj Patel,14,Grade 9,Female,2.67,60.2,77.9,63.5,10.8,61.8,76.9,46.2,Medium
STU-1017,Nisha Nair,17,Grade 12,Male,3.5,82.0,97.0,92.7,29.0,94.6,92.9,10.5,Low
STU-1018,Manoj Ghosh,17,Grade 12,Female,3.58,97.5,89.5,95.0,23.6,94.0,90.6,10.1,Low
STU-1019,Alok Joshi,15,Grade 10,Male,3.7,95.6,88.6,88.8,17.0,95.8,94.0,13.3,Low
STU-1020,Bhavna Gupta,14,Grade 9,Female,2.61,67.6,77.6,70.4,11.7,61.3,80.6,43.0,Medium
STU-1021,Deepika Rao,17,Grade 12,Male,2.72,65.9,73.2,76.9,11.7,58.1,79.5,43.7,Medium
STU-1022,Bhavna Patel,14,Grade 9,Female,2.65,61.7,76.8,67.6,7.3,61.9,75.4,48.4,Medium
STU-1023,Swati Kapoor,16,Grade 11,Male,3.99,92.5,94.1,88.1,27.4,86.8,96.6,8.5,Low
STU-1024,Aditya Rao,14,Grade 9,Female,1.99,38.3,65.8,41.5,1.8,37.5,63.7,75.1,High
STU-1025,Rajesh Rao,14,Grade 9,Male,3.65,86.4,88.9,88.0,26.8,92.2,92.6,13.6,Low
STU-1026,Karthik Kapoor,14,Grade 9,Female,3.97,93.1,89.1,89.8,16.5,87.9,95.5,12.9,Low
STU-1027,Karthik Reddy,14,Grade 9,Male,3.94,94.7,91.1,98.3,28.6,85.4,92.5,8.0,Low
STU-1028,Rohan Choudhury,17,Grade 12,Female,3.85,96.8,97.7,90.8,18.3,94.8,91.8,6.9,Low
STU-1029,Preeti Kumar,15,Grade 10,Male,2.57,72.1,78.6,74.8,11.3,71.0,75.2,40.4,Medium
STU-1030,Rohan Bose,14,Grade 9,Female,3.53,95.1,96.6,93.5,20.3,94.7,92.3,7.8,Low
STU-1031,Priya Ghosh,15,Grade 10,Male,2.54,60.9,75.6,74.4,8.8,66.2,80.2,46.4,Medium
STU-1032,Aarti Singh,14,Grade 9,Female,2.18,38.7,50.3,57.1,2.1,32.4,58.7,78.3,High
STU-1033,Tanvi Mehta,14,Grade 9,Male,2.69,63.3,75.5,73.3,7.0,72.8,78.5,46.0,Medium
STU-1034,Kiran Choudhury,17,Grade 12,Female,2.73,64.3,72.6,67.0,11.2,69.5,75.6,45.6,Medium
STU-1035,Varun Ghosh,17,Grade 12,Male,3.82,90.9,91.3,90.3,25.3,88.1,97.5,10.4,Low
STU-1036,Pooja Bhat,16,Grade 11,Female,2.82,64.0,75.7,65.4,10.9,67.7,75.9,44.4,Medium
STU-1037,Swati Das,15,Grade 10,Male,2.03,55.2,58.2,51.9,3.6,36.2,63.3,71.6,High
STU-1038,Vivek Singh,14,Grade 9,Female,2.0,49.1,64.4,40.2,1.8,30.5,54.9,75.2,High
STU-1039,Nisha Bhat,14,Grade 9,Male,2.84,67.5,76.1,73.5,8.9,64.4,73.8,43.8,Medium
STU-1040,Arun Patel,17,Grade 12,Female,3.88,93.1,90.2,93.6,23.8,96.7,91.2,8.7,Low
STU-1041,Aditya Das,16,Grade 11,Male,2.11,47.9,67.0,51.5,3.0,48.3,61.0,67.8,Medium
STU-1042,Siddharth Saxena,17,Grade 12,Female,3.85,95.4,92.5,91.3,26.9,89.8,92.4,8.7,Low
STU-1043,Swati Verma,16,Grade 11,Male,2.57,71.6,74.1,63.3,7.8,64.1,73.8,48.5,Medium
STU-1044,Divya Verma,17,Grade 12,Female,2.67,65.4,75.7,65.3,9.1,72.5,79.0,45.7,Medium
STU-1045,Priya Pillai,17,Grade 12,Male,3.97,86.8,92.8,92.7,28.5,95.4,95.4,8.4,Low
STU-1046,Aarti Bhat,15,Grade 10,Female,1.62,45.2,57.8,43.9,3.7,47.6,64.5,76.4,High
STU-1047,Gaurav Reddy,14,Grade 9,Male,1.87,48.9,66.1,36.9,2.7,49.1,53.6,73.1,High
STU-1048,Nikhil Bose,16,Grade 11,Female,3.6,94.2,90.1,92.5,26.5,95.3,92.5,10.6,Low
STU-1049,Sneha Joshi,14,Grade 9,Male,2.43,72.4,78.7,65.6,7.3,73.3,72.5,46.0,Medium
STU-1050,Priya Gupta,15,Grade 10,Female,3.77,85.8,96.4,93.7,17.6,97.2,94.7,9.5,Low
STU-1051,Nikhil Choudhury,15,Grade 10,Male,3.98,93.5,94.1,97.3,18.3,87.0,95.8,7.7,Low
STU-1052,Varun Pillai,17,Grade 12,Female,2.76,61.0,75.6,73.0,10.1,59.6,81.3,45.1,Medium
STU-1053,Lavanya Patel,14,Grade 9,Male,2.61,64.8,75.1,70.1,8.7,71.6,81.9,45.7,Medium
STU-1054,Rohan Mehta,16,Grade 11,Female,3.9,93.3,94.4,93.2,26.3,97.4,92.7,6.6,Low
STU-1055,Aarti Joshi,17,Grade 12,Male,2.77,63.5,75.9,75.6,11.2,59.4,82.6,43.0,Medium
STU-1056,Deepika Das,17,Grade 12,Female,3.7,87.2,91.4,93.9,21.0,86.1,92.8,11.5,Low
STU-1057,Lavanya Agarwal,16,Grade 11,Male,1.81,39.0,59.1,40.6,2.6,42.2,54.8,78.6,High
STU-1058,Nisha Deshmukh,17,Grade 12,Female,3.41,86.7,92.5,92.9,19.4,92.6,93.7,12.7,Low
STU-1059,Manoj Menon,16,Grade 11,Male,2.0,41.9,56.5,51.2,2.1,35.5,52.4,77.2,High
STU-1060,Kiran Singh,14,Grade 9,Female,2.88,69.0,78.7,65.1,10.7,62.4,79.1,42.4,Medium
STU-1061,Tarun Bhat,16,Grade 11,Male,2.82,63.9,80.8,67.8,8.5,69.3,73.5,43.4,Medium
